Bedroom,Bathroom,Property Size in sqft,Nearby School,Nearby Mall,Completion Year,Num of Floors,Total Units,Parking Lot,Bus Stop,Mall,Park,School,Hospital,Highway,Railway Station,Land Title_Malay Reserved,Land Title_Non Bumi Lot,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Labuan,State_Melaka,State_Negeri Sembilan,State_Pahang,State_Penang,State_Perak,State_Perlis,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu,Price
3,2,810.0,0,0,2007,20,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,288000.0
3,2,1046.0,0,0,2001,22,614,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,220000.0
3,3,1045.0,1,0,2013,22,614,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,560000.0
3,2,700.0,0,0,2012,30,500,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,380000.0
3,2,700.0,0,0,2012,30,500,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,340000.0
3,2,900.0,0,0,2019,42,2685,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,400000.0
3,2,700.0,0,0,2012,30,500,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,350000.0
3,2,750.0,0,0,1998,35,614,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,250000.0
3,2,650.0,0,0,2015,22,614,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,260000.0
2,2,800.0,0,0,2020,33,490,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,399000.0
3,3,1082.0,0,0,2022,22,552,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,329000.0
3,2,1050.0,0,0,1999,9,36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,550000.0
3,2,750.0,0,0,2000,22,614,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,190000.0
2,1,500.0,0,0,1986,22,614,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125000.0
4,3,1539.0,0,0,2013,15,192,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,538000.0
